"item";"location";"games";"location_general"
"Reaper Cloth";"East of cuttable tree northeast of Ace Trainer Dana (requires Cut)";"D|P|Pt|BD|SP";"Sinnoh Route 229"
"Full Restore";"Northeast corner of the route";"D|P|Pt|BD|SP";"Sinnoh Route 229"
"Nugget";"From the man in the middle of the route";"D|P|Pt";"Sinnoh Route 229"
"Protein";"Northeast of the pond (requires Cut)";"D|P|Pt|BD|SP";"Sinnoh Route 229"
"Thunderstone";"By the southwest end of the pond (requires Cut and Surf) (hidden)";"Pt";"Sinnoh Route 229"
"Qualot Berry";"West end of the pond or south of the man who gives the player Nuggets";"D|P|Pt";"Sinnoh Route 229"
"Grepa Berry";"West end of the pond or south of the man who gives the player Nuggets";"D|P|Pt";"Sinnoh Route 229"
"Kelpsy Berry";"On the northwestern side near Fight Area";"D|P|Pt|BD|SP";"Sinnoh Route 230"
"Grepa Berry";"On the northwestern side near Fight Area";"D|P|Pt";"Sinnoh Route 230"
"Blue Shard";"On the west side of the island (requires Surf and Rock Smash)";"Pt";"Sinnoh Route 230"
"Ultra Ball";"On the north side of the island (requires Surf and Rock Smash) (hidden)";"Pt";"Sinnoh Route 230"
"Water Stone";"West of the Rare Candy (requires Surf and Rock Smash) (hidden)";"Pt";"Sinnoh Route 230"
"Rare Candy";"On the east side of the island (requires Surf and Rock Smash)";"D|P|Pt|BD|SP";"Sinnoh Route 230"
"Pokédex";"Obtained from Professor Rowan in the Pokémon Research Lab";"D|P|Pt|BD|SP";"Sandgem Town"
"TM27 (Return)";"Obtained from Professor Rowan after leaving his Research Lab";"Pt";"Sandgem Town"
"National Pokédex";"Upgraded by Professor Oak in the Pokémon Research Lab after seeing 150DPBDSP/210Pt Pokémon in the Sinnoh Pokédex";"D|P|Pt|BD|SP";"Sandgem Town"
"Poké Radar";"Obtained from Professor Rowan after Professor Oak upgrades the player's Pokédex";"D|P|Pt|BD|SP";"Sandgem Town"
"Rare Candy";"East of the Gym (hidden)";"Pt";"Snowpoint City"
"Ultra Ball";"Next to the crane";"Pt";"Snowpoint City"
"Everstone";"Held by Gaspar, a Haunter the player can receive in a trade";"D|P|Pt|BD|SP";"Snowpoint City"
"Calcium";"B1F; near the southeast corner";"D|P|Pt|BD|SP";"Snowpoint Temple"
"Full Restore";"B3F; on the rock between the stairs (hidden)";"D|P|Pt|BD|SP";"Snowpoint Temple"
"Full Heal";"B4F; on the south side of the room (requires Strength)";"Pt";"Snowpoint Temple"
"Fire Stone";"On the rock in the dead-end down the first top left stairwell (hidden)";"Pt";"Solaceon Ruins"
"Water Stone";"On the rock in the dead-end down the top right, bottom left, and then bottom left stairwells (hidden)";"Pt";"Solaceon Ruins"
"Thunderstone";"On the rock in the dead-end down the top right, bottom left, top right, top left, and then bottom right stairwells (hidden)";"Pt";"Solaceon Ruins"
"Nugget";"In the final room";"D|P|Pt|BD|SP";"Solaceon Ruins"
"Mind Plate";"In the final room";"D|P|Pt|BD|SP";"Solaceon Ruins"
"Odd Incense";"In the final room";"D|P|Pt|BD|SP";"Solaceon Ruins"
"HM05 (Defog)";"In the final room";"Pt";"Solaceon Ruins"
"Green Shard";"Given by the man in the second room after showing him HM05 (Defog)";"Pt";"Solaceon Ruins"
"Rare Candy";"On the top ledge, accessible from Maniac Tunnel after encountering 26 different kinds of Unown";"Pt";"Solaceon Ruins"
"Persim Berry";"At the Berry patch next to the Poké Mart";"D|P|Pt|BD|SP";"Solaceon Town"
"Nanab Berry";"At the Berry patch next to the Poké Mart";"D|P|Pt|BD|SP";"Solaceon Town"
"Figy Berry";"At the Berry patch next to the Poké Mart";"D|P|Pt|BD|SP";"Solaceon Town"
"Day Care Checker";"From a man in the Pokémon Day Care after leaving a Pokémon there";"D|P|Pt|BD|SP";"Solaceon Town"
"Pokémon History";"From a Ruin Maniac in the middle of the town";"D|P|Pt";"Solaceon Town"
"Seal Case";"From a woman in the far eastern house";"D|P|Pt";"Solaceon Town"
"Alphabet Seals";"From the boy in the far eastern house for showing the respective Unown";"D|P|Pt";"Solaceon Town"
"PP Up";"On the second to last ledge on the eastern side of town";"Pt";"Solaceon Town"
"Big Mushroom";"On a tree in the northeastern corner of the town (hidden)";"Pt";"Solaceon Town"
"Life Orb";"In the southwestern corner (requires Rock Climb)";"D|P|Pt|BD|SP";"Stark Mountain"
"Max Elixir";"North of the grass patch";"Pt";"Stark Mountain"
"Escape Rope";"In the southwestern corner (requires Strength)";"D|P|Pt|BD|SP";"Stark Mountain"
"PP Up";"In the southeastern corner (requires Strength)";"D|P|Pt|BD|SP";"Stark Mountain"
"Full Heal";"In the northwestern corner (requires Strength)";"Pt";"Stark Mountain"
"Full Restore";"East of the entrance to the second room (requires Strength and Rock Smash)";"D|P|Pt|BD|SP";"Stark Mountain"
"Star Piece";"In the wall north of the Full Restore (requires Strength and Rock Smash) (hidden)";"Pt";"Stark Mountain"
"Rare Candy";"At the end of the pit west of Ace Trainers Keenan and Kassandra";"D|P|Pt|BD|SP";"Stark Mountain"
"Flame Plate";"On the west side, at the end of a dead-end path, in the wall (hidden)";"D|P|Pt|BD|SP";"Stark Mountain"
"TM50 (Overheat)";"South of Ace Trainers Stefan and Jasmin (requires Strength)";"D|P|Pt|BD|SP";"Stark Mountain"
"Calcium";"In the pit north of Bird Keeper Krystal and Black Belt Ray";"D|P|Pt|BD|SP";"Stark Mountain"
"Star Piece";"On a small boulder northeast of Bird Keeper Krystal and Black Belt Ray (hidden)";"Pt";"Stark Mountain"
"Max Revive";"West of the Iron Ball (hidden)";"Pt";"Stark Mountain"
"Iron Ball";"At the end of the pit west of Psychics Chelsey and Sterling";"D|P|Pt|BD|SP";"Stark Mountain"
"Stardust";"On the east side, on a small boulder northeast of Ace Trainers Abel and Monique (hidden)";"Pt";"Stark Mountain"
"Iron";"Near the northeastern corner, at the end of a raised dead-end path (hidden)";"Pt";"Stark Mountain"
"Max Revive";"Northwest of Veteran Harlan";"D|P|Pt|BD|SP";"Stark Mountain"
"Fire Stone";"On a large boulder in the northwest corner of the room (requires Rock Smash) (hidden)";"Pt";"Stark Mountain"
"Ultra Ball";"Atop the hill northwest of Bird Keeper Krystal and Black Belt Ray (requires Rock Climb)";"D|P|Pt|BD|SP";"Stark Mountain"
"Ultra Ball";"Near the southwestern corner, in an area between small boulders west of Ace Trainers Keenan and Kassandra (requires Rock Climb) (hidden)";"Pt";"Stark Mountain"
"Max Elixir";"At the southern end of the pit northwest of Ace Trainers Abel and Monique (requires Rock Climb)";"D|P|Pt|BD|SP";"Stark Mountain"
"Nugget";"In the northeastern corner of the room (requires Rock Climb)";"D|P|Pt|BD|SP";"Stark Mountain"
"HM07 (Waterfall)";"From Jasmine at the beach after defeating Volkner";"D|P|Pt";"Sunyshore City"
"Carbos";"Between the Sunyshore Market and the blank sign painted white (hidden)";"Pt";"Sunyshore City"
"Thunder Stone";"Behind the Vista Lighthouse";"D|P|Pt|BD|SP";"Sunyshore City"
"Zap Plate";"In front of the Vista Lighthouse (hidden)";"D|P|Pt|BD|SP";"Sunyshore City"
"Alert Ribbon";"From Julia to the leading Pokémon in the partyMo";"D|P|Pt|BD|SP";"Sunyshore City"
"Shock Ribbon";"From Julia to the leading Pokémon in the partyTu";"D|P|Pt|BD|SP";"Sunyshore City"
"Downcast Ribbon";"From Julia to the leading Pokémon in the partyWe";"D|P|Pt|BD|SP";"Sunyshore City"
"Careless Ribbon";"From Julia to the leading Pokémon in the partyTh";"D|P|Pt|BD|SP";"Sunyshore City"
"Relax Ribbon";"From Julia to the leading Pokémon in the partyFr";"D|P|Pt|BD|SP";"Sunyshore City"
"Snooze Ribbon";"From Julia to the leading Pokémon in the partySa";"D|P|Pt|BD|SP";"Sunyshore City"
"Smile Ribbon";"From Julia to the leading Pokémon in the partySu";"D|P|Pt|BD|SP";"Sunyshore City"
"Effort Ribbon";"From a woman in the Sunyshore Market, left of the entrance, if the player's lead Pokémon has 510 EVs";"D|P|Pt|BD|SP";"Sunyshore City"
"Calendar";"From the Pokétch app developer if shown a Pokémon with a Serious Nature (requires Rock Climb)";"D|P|Pt|BD|SP";"Sunyshore City"
"Dot Artist";"From the Pokétch app developer if shown a Pokémon with a Naive Nature (requires Rock Climb)";"D|P|Pt|BD|SP";"Sunyshore City"
"Spinner";"From the Pokétch app developer if shown a Pokémon with a Quirky Nature (requires Rock Climb)";"D|P|Pt|BD|SP";"Sunyshore City"
"Effort Ribbon";"From the woman in the stall on the left to the entrance, if the player's lead Pokémon has 510 effort values";"D|P|Pt|BD|SP";"Sunyshore Market"
"Red Shard";"West of the Move Tutor's house (requires Rock Climb)";"Pt";"Survival Area"
"TM42 (Facade)";"From a man in the southernmost house";"D|P|Pt";"Survival Area"
"Rare Candy";"Behind the Poké Mart";"Pt";"Survival Area"
"PP Up";"West of the southern house, next to a tree (hidden)";"Pt";"Survival Area"
"X Speed";"2F, behind the Grunt in the far left room";"Pt";"Team Galactic Eterna Building"
"X Special";"3F, next to a Grunt";"Pt";"Team Galactic Eterna Building"
"Blue Shard";"4F, upstairs past Scientist Travon, next to Revive";"Pt";"Team Galactic Eterna Building"
"Revive";"4F, upstairs past Scientist Travon, next to Blue Shard";"Pt";"Team Galactic Eterna Building"
"Up-Grade";"4F, to the right of where Jupiter stood";"Pt";"Team Galactic Eterna Building"
"PP Up";"1F; amongst boxes to the right of the doorway of the easternmost door at the entrance (hidden)";"Pt";"Team Galactic HQ"
"Dubious Disc";"1F; in the room that connects to the warehouse through the locked door, between two seats at the table (via underpass side)";"Pt";"Team Galactic HQ"
"TM49 (Snatch)";"1F; accessed through the right warp panel of the first pair of panels encountered (via underpass side)";"D|P|Pt";"Team Galactic HQ"
"Rare Candy";"3F; in the hallway leading up to TM21, by a machine (via underpass side) (hidden)";"Pt";"Team Galactic HQ"
"TM21 (Frustration)";"3F; behind the locked door in the generator room (via underpass side)";"D|P|Pt";"Team Galactic HQ"
"Max Revive";"2F; accessed through the bottom warp panel east of the first pair of Galactic Grunts";"D|P|Pt|BD|SP";"Team Galactic HQ"
"Green Shard";"2F; accessed through the top warp panel east of the first pair of Galactic Grunts";"Pt";"Team Galactic HQ"
"Max Potion";"2F; accessed through the top warp panel east of the first pair of Galactic Grunts (hidden)";"Pt";"Team Galactic HQ"
"Poké Doll";"2F; in the bed on the right in the nap room (hidden)";"Pt";"Team Galactic HQ"
"Nugget";"3F; near the first trio of warp panels (hidden)";"Pt";"Team Galactic HQ"
"Protein";"3F; accessed through the rightmost warp panel in the trio of warp panels, hidden behind a pair of crates";"Pt";"Team Galactic HQ"
"Elixir";"3F; accessed through the middle warp panel in the trio of warp panels (hidden)";"D|P|Pt";"Team Galactic HQ"
"Max Elixir";"3F; accessed through the middle warp panel in the trio of warp panels";"Pt";"Team Galactic HQ"
"Master Ball";"Received from Cyrus after defeating him";"D|P|Pt|BD|SP";"Team Galactic HQ"
"Razor Claw";"On the right-hand side of Cyrus's office (hidden)";"Pt";"Team Galactic HQ"
"Full Restore";"After leaving Cyrus's office, in the room with the green fluid machines";"Pt";"Team Galactic HQ"
"HM02 (Fly)";"To the right of the entrance";"D|P|Pt";"Team Galactic HQ"
"Dusk Stone";"Behind the locked door in the entrance that requires the Storage Key";"D|P|Pt|BD|SP";"Team Galactic HQ"
"Galactic Key";"In the west, in the locked area, nearest the door";"D|P|Pt|BD|SP";"Team Galactic HQ"
"TM36 (Sludge Bomb)";"In the west, in the locked area, farthest from the door";"D|P|Pt|BD|SP";"Team Galactic HQ"
"Zinc";"By a bunch of boxes in the east";"D|P|Pt|BD|SP";"Team Galactic HQ"
"Town Map";"Obtained from Barry after delivering the Parcel to him";"D|P|Pt|BD|SP";"Trainers' School (Sinnoh)"
"Potion";"Obtained from School Kid Harrison after defeating him and Christine";"Pt";"Trainers' School (Sinnoh)"
"X Attack";"In the top left corner of the room";"Pt";"Trainers' School (Sinnoh)"
"Reaper Cloth";"Giratina's room, if the player reached it by passing through only 3 rooms and Giratina is not present (reappears each time)";"D|P|Pt|BD|SP";"Turnback Cave"
"Rare Bone";"Giratina's room, if the player reached it by passing through 4-15 rooms and Giratina is not present (reappears each time)";"D|P|Pt|BD|SP";"Turnback Cave"
"Stardust";"Giratina's room, if the player reached it by passing through 16-30 rooms and Giratina is not present (reappears each time)";"D|P|Pt|BD|SP";"Turnback Cave"
"Running Shoes";"Obtained from player's mother after receiving the starter Pokémon";"D|P|Pt|BD|SP";"Twinleaf Town"
"Guidebook";"Obtained from player's mother after returning from Sandgem Town";"D|P|Pt|BD|SP";"Twinleaf Town"
"Parcel";"Obtained from Barry's mother after returning from Sandgem Town";"D|P|Pt|BD|SP";"Twinleaf Town"
"Odd Keystone";"In a tree along the left side of the pond (requires Surf) (hidden)";"D|P|Pt|BD|SP";"Twinleaf Town"
"Potion";"Exterior; in the southeast corner, below the Honey Tree";"D|P|Pt|BD|SP";"Valley Windworks"
"Max Elixir";"Exterior; on the north side of the fence (requires Surf) (hidden)";"D|P|Pt|BD|SP";"Valley Windworks"
"TM24 (Thunderbolt)";"Exterior; behind the Windworks building (requires Surf)";"D|P|Pt|BD|SP";"Valley Windworks"
"Electirizer";"Exterior; on the north side of the fence (requires Surf)";"Pt";"Valley Windworks"
"Ultra Ball";"In the northwest corner of the large patch of grass north of the Lake entrance";"Pt";"Valor Lakefront"
"Big Mushroom";"In a tree in the northwest corner of the large patch of grass north of the Lake entrance (hidden)";"Pt";"Valor Lakefront"
"Sun Stone";"At the top of the climbable ledges in the east of Hotel Grand Lake (requires Rock Climb) (hidden)";"Pt";"Valor Lakefront"
"TM85 (Dream Eater)";"To the left of the house of the woman who lost her Suite Key, accessed from next to the westernmost house (requires Rock Climb)";"D|P|Pt|BD|SP";"Valor Lakefront"
"Iron";"To the left of the house of the woman who lost her Suite Key (requires Rock Climb)";"Pt";"Valor Lakefront"
"White Flute";"Given by woman outside the northernmost building after returning her Suite Key";"Pt";"Valor Lakefront"
"Secret Medicine";"From Cynthia near Lake Valor after defeating the Team Galactic Grunt from Pastoria City";"D|P|Pt|BD|SP";"Valor Lakefront"
"Calcium";"West of the Galactic Warehouse, just north of the city entrance (hidden)";"Pt";"Veilstone City"
"TM63 (Embargo)";"From a Roughneck in the southwestern part of the city";"D|P|Pt";"Veilstone City"
"Coin Case";"From a Clown in a house west of the Veilstone Game Corner";"D|P|Pt";"Veilstone City"
"Full Incense";"On a platform east of the Gym (requires Rock Climb)";"D|P|Pt|BD|SP";"Veilstone City"
"Rare Candy";"On the west side of Galactic Veilstone Building";"Pt";"Veilstone City"
"PP Up";"Between the trees and Veilstone Department Store (hidden)";"Pt";"Veilstone City"
"Star Piece";"Left of the Galactic Warehouse, far north of the city entrance";"Pt";"Veilstone City"
"Star Piece";"In the biggest meteorite pit (hidden)";"Pt";"Veilstone City"
"Turtwig Mask";"1F, from the Lady to the left of the entrance, if the player started with Chimchar";"D|P|Pt";"Veilstone Department Store"
"Chimchar Mask";"1F, from the Lady to the left of the entrance, if the player started with Piplup";"D|P|Pt";"Veilstone Department Store"
"Piplup Mask";"1F, from the Lady to the left of the entrance, if the player started with Turtwig";"D|P|Pt";"Veilstone Department Store"
"Counter";"2F, from the downmost man behind the selling counter";"D|P|Pt|BD|SP";"Veilstone Department Store"
"Sticky Barb";"5F, from the man standing in front of another man near the escalator";"D|P|Pt|BD|SP";"Veilstone Department Store"
"5-20 Coins";"Interacting with any game machine, repeatable daily (Korean and EuropeanPt versions only)";"D|P|Pt";"Veilstone Game Corner"
"20 Coins";"From the man standing south of the counter";"D|P|Pt";"Veilstone Game Corner"
"50 Coins";"From the fat man playing a slot machine near the counter";"D|P|Pt";"Veilstone Game Corner"
"TM64 (Explosion)";"From the woman behind the counter after playing ten or more bonus rounds in a row (except Korean and European versions)Occasionally from the woman behind the counter (Korean and EuropeanPt versions only)";"D|P|Pt";"Veilstone Game Corner"
"TinyMushroom";"On the raised-land section, one space north of the southernmost flower (hidden)";"Pt";"Verity Lakefront"
"TM41 (Torment)";"North of Psychic Bryce";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Max Repel";"North of Bird Keeper Hana";"Pt";"Victory Road (Sinnoh)"
"Nugget";"On a rock north of Ace Trainer Mariah (hidden)";"Pt";"Victory Road (Sinnoh)"
"Ultra Ball";"East of Black Belt Miles (hidden)";"Pt";"Victory Road (Sinnoh)"
"Rare Candy";"In an isolated area only reachable via the stairs in the southwest corner of B1F";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Zinc";"South of the entrance to the blocked area";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Razor Claw";"Southwest of Veteran Edgar";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Max Revive";"On top of cliff southwest from Veteran Edgar (hidden)";"Pt";"Victory Road (Sinnoh)"
"Max Elixir";"Northwest corner, end of first set of ramps";"Pt";"Victory Road (Sinnoh)"
"Rare Candy";"Northeast of Ace Trainer Omar (hidden)";"Pt";"Victory Road (Sinnoh)"
"Full Restore";"Southeast corner, east of the three moveable boulders and one breakable rock (hidden)";"Pt";"Victory Road (Sinnoh)"
"Full Restore";"At end of second set of bike ramps";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"TM71 (Stone Edge)";"At end of third set of bike ramps";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"TM79 (Dark Pulse)";"In an isolated room only reachable via the stairs in the northwest corner of 1F";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Heart Scale";"On rock southeast of Psychic Valencia (hidden)";"Pt";"Victory Road (Sinnoh)"
"Calcium";"Northeast of Double Team Jo & Pat";"Pt";"Victory Road (Sinnoh)"
"Ultra Ball";"East of Ace Trainer Henry";"Pt";"Victory Road (Sinnoh)"
"TM59 (Dragon Pulse)";"Northwest of Psychic Valencia, accessible by the waterfall";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Max Elixir";"Southwest of Dragon Tamer Ondrej, southeast of the stairs leading up (hidden)";"Pt";"Victory Road (Sinnoh)"
"Dusk Stone";"Northwest corner of the room, behind Strength boulders (north way)";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Full Restore";"Northwest corner of the room, behind Strength boulders (south way)";"Pt";"Victory Road (Sinnoh)"
"Heart Scale";"On a boulder between Veteran Terrell and Black Belt Eddie (requires Strength) (hidden)";"Pt";"Victory Road (Sinnoh)"
"HP Up";"West of the door which leads upstairs (hidden)";"Pt";"Victory Road (Sinnoh)"
"Nugget";"Northeast of the lake northeast of Psychics Deandre and Kendra (requires either Surf or Strength)";"Pt";"Victory Road (Sinnoh)"
"Leftovers";"Southeast corner of the lake in the southwest corner of the room (requires Surf)";"D|P|Pt|BD|SP";"Victory Road (Sinnoh)"
"Ultra Ball";"In the middle of the patch of land at the northeast corner of the lake in the southwest corner of the room (requires Surf) (hidden)";"Pt";"Victory Road (Sinnoh)"
"Ultra Ball";"In a dead end in the maze of boulders, southwest of Psychics Deandre and Kendra (hidden)";"Pt";"Victory Road (Sinnoh)"
"Rare Candy";"At a dead end of boulders directly east of the stairs leading down from the lake northeast of Ace Trainers Micah and Brandi, in the southeast jumble of boulders (hidden)";"Pt";"Victory Road (Sinnoh)"
"Green Shard";"At the second intersection north of the entrance, on the middle rock of the eastern blockage (hidden)";"Pt";"Wayward Cave"
"Escape Rope";"At the intersection just down the southeast path from the back wall";"D|P|Pt|BD|SP";"Wayward Cave"
"Yellow Shard";"In the chamber in which the player meets Mira, on the rock against the southern wall (hidden)";"Pt";"Wayward Cave"
"Blue Shard";"In the southeast corner of the cave, on the central rock south of Collector Terry and Ruin Maniac Gerald (hidden)";"Pt";"Wayward Cave"
"Great Ball";"In the easternmost fully blocked intersection, on the northernmost rock south of Picnicker Ana and Camper Parker (hidden)";"Pt";"Wayward Cave"
"Super Potion";"In the western bend of the S-Tetrimino-shaped pathway on the middle eastern side of the cave, on the rock just southwest of the breakable rock (hidden)";"Pt";"Wayward Cave"
"Revive";"In the northwest corner, at the south end of the chamber";"Pt";"Wayward Cave"
"Red Shard";"In the blocked corner passageway in the southwest, on a southwestern rock among the blockage south of Hiker Reginald and Hiker Lorenzo (hidden)";"Pt";"Wayward Cave"
"TM32 (Double Team)";"At the east end of the chamber in the southwest corner";"D|P|Pt|BD|SP";"Wayward Cave"
"TM26 (Earthquake)";"In a small room accessed from the end of B1F (requires StrengthDPBDSP)";"D|P|Pt|BD|SP";"Wayward Cave"
"Dusk Stone";"Southwest corner of the basement (hidden)";"Pt";"Wayward Cave"
"Max Ether";"At the end of the southernmost set of jump ramps";"D|P|Pt|BD|SP";"Wayward Cave"
"Stardust";"Northwest corner of the basement (hidden)";"Pt";"Wayward Cave"
"Rare Candy";"Northeast area of the basement, below a jump ramp";"Pt";"Wayward Cave"
"Grip Claw";"Between the two bike bridges";"D|P|Pt|BD|SP";"Wayward Cave"
"Razz Berry";"Southwest of the first cuttable tree, on a marked square (hidden recurring item; group A)";"FR|LG";"Berry Forest"
"Oran Berry";"Northwest of the first cuttable tree, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Persim Berry";"Northeast of the ledge near the entrance, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Pinap Berry";"Northeast of the Oran Berry, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Chesto Berry";"Northeastern corner of the forest, on a marked square (hidden recurring item; group A)";"FR|LG";"Berry Forest"
"Full Heal";"North of the northernmost body of water";"FR|LG";"Berry Forest"
"Aspear Berry";"Northeast of the northernmost body of water, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Rawst Berry";"Northeast of the Aspear Berry, on a marked square (hidden recurring item; group A)";"FR|LG";"Berry Forest"
"Max Ether";"West of the Rawst Berry";"FR|LG";"Berry Forest"
"Bluk Berry";"Southeast of the cuttable tree southwest of the Rawst Berry, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Nanab Berry";"Northeast of the middle body of water, on a marked square (hidden recurring item; group A)";"FR|LG";"Berry Forest"
"Cheri Berry";"North of the middle body of water, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Wepear Berry";"North of the middle body of water, on a marked square (hidden recurring item; groups B and C)";"FR|LG";"Berry Forest"
"Pecha Berry";"North of the southernmost body of water, on a marked square (hidden recurring item; group A)";"FR|LG";"Berry Forest"
"Max Elixir";"At the end of the dead-end path southeast of the southernmost body of water (requires Cut and Surf)";"FR|LG";"Berry Forest"
"Lum Berry";"In the northwest area of the forest, on a marked square (hidden recurring item; group C)";"FR|LG";"Berry Forest"
"Iapapa Berry";"Received from Lostelle after saving her";"FR|LG";"Berry Forest"
"Max Repel";"On the rock northwest of Aroma Lady Violet (hidden)";"FR|LG";"Bond Bridge"
"Pearl";"In the corner southwest of Tuber Alexis (hidden recurring item; group B)";"FR|LG";"Bond Bridge"
"Stardust";"One square west and two squares north of the northwest corner of the bridge (hidden recurring item; group B)";"FR|LG";"Bond Bridge"
"Rawst Berry";"Northeast of Young Couple Eve & Jon, on the marked square (hidden)";"FR|LG";"Canyon Entrance"
"Rare Candy";"Behind the Move Tutor's house, in the corner (hidden)";"FR|LG";"Cape Brink"
"PP Max";"On the square of land southeast of the waterfall (requires Surf) (hidden)";"FR|LG";"Cape Brink"
"Ether";"Near the northwest corner of the city";"FR|LG";"Celadon City"
"PP Up";"Northeast of the cuttable tree far east of the Rocket Game Corner (hidden)";"R|B|Y|FR|LG";"Celadon City"
"Coin Case";"Received from a man in the restaurant";"R|B|Y|FR|LG";"Celadon City"
"Tea";"1F, from the Manager in the Manager's Suite";"FR|LG";"Celadon Condominiums"
"20 Coins";"From the Gentleman";"R|B|Y|FR|LG";"Celadon Game Corner"
"20 Coins";"From the Scientist";"R|B|Y|FR|LG";"Celadon Game Corner"
"10 Coins";"From the Fisherman";"R|B|Y|FR|LG";"Celadon Game Corner"
"10 Coins";"Three squares south and two squares east of the old man (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"One square west of the old man (hidden)";"FR|LG";"Celadon Game Corner"
"100 Coins";"Two squares to the west of the Pokémon Printer (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"Two squares north and two squares east of the Scientist (hidden)";"FR|LG";"Celadon Game Corner"
"40 Coins";"Two squares north and four squares east of the Scientist (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"Four squares north of the Scientist (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"Three squares north and three squares west of the Scientist (hidden)";"FR|LG";"Celadon Game Corner"
"20 Coins";"One square east and three squares north of the woman in the center aisle (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"Two squares south and one square west of the Gym guide (hidden)";"FR|LG";"Celadon Game Corner"
"20 Coins";"One square east and three squares south of the woman in the west aisle (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"One square west and one square south of the Fisherman (hidden)";"FR|LG";"Celadon Game Corner"
"10 Coins";"One square east and two squares north of the man in the west aisle (hidden)";"FR|LG";"Celadon Game Corner"
"Nugget";"1F, in the northwest area of the floor";"FR|LG";"Cerulean Cave"
"Ultra Ball";"1F, two squares east of the ladder closest to the Nugget (hidden)";"FR|LG";"Cerulean Cave"
"Ultra Ball";"2F, in the southeast area of the floor, accessible from the ladder in the east area of 1F (requires Rock Smash)";"FR|LG";"Cerulean Cave"
"Ultra Ball";"B1F, northeast of the center of the map, on a plateau";"FR|LG";"Cerulean Cave"
"Max Elixir";"1F, northeast of the center of the floor, on a plateau";"FR|LG";"Cerulean Cave"
"Full Restore";"1F, in the southwest area of the floor";"FR|LG";"Cerulean Cave"
"Full Restore";"2F, in the east area of the floor, accessible from the northeasternmost ladder on 1F (requires Rock Smash)";"FR|LG";"Cerulean Cave"
"PP Up";"2F, in the southwest area of the floor, accessible from the southwesternmost ladder on 1F (requires Rock Smash)";"FR|LG";"Cerulean Cave"
"Max Revive";"B1F, in the northeast area of the floor";"FR|LG";"Cerulean Cave"
"Fab Mail";"Held by Zynx, a Jynx the player can obtain in a trade";"FR|LG";"Cerulean City"
"Rare Candy";"One square south of the middle flower in the backyard of the Gym Badge man's house (hidden)";"FR|LG";"Cerulean City"
"Powder Jar";"Received from an old man in the house next to the Gym Badge man's house";"FR|LG";"Cerulean City"
"Fame Checker";"Received from Blue after defeating him";"FR|LG";"Cerulean City"
"TM28 (Dig)";"Received from the Team Rocket Grunt after defeating him";"R|B|Y|FR|LG";"Cerulean City"
"Bicycle";"Received from the Bike Shop owner in return for a Bike Voucher";"R|B|Y|FR|LG";"Cerulean City"
"Stardust";"Held by Tangeny, a Tangela the player can obtain in a trade";"FR|LG";"Cinnabar Lab"
"Max Potion";"In the north area of the route, in a small alcove (requires Cut)";"FR|LG";"Five Isle Meadow"
"PP Up";"On a small piece of land southwest of the Rocket Warehouse (requires Surf)";"FR|LG";"Five Isle Meadow"
"Ultra Ball";"On the beach, north of the port (hidden recurring item; group A)";"FR|LG";"Four Island (town)"
"Pearl";"On the beach, east of the port (hidden recurring item; group B)";"FR|LG";"Four Island (town)"
"Star Piece";"In the northernmost part of the beach (requires Rock Smash)";"FR|LG";"Four Island (town)"
"Stardust";"On the strip of land south of the entrance to Icefall Cave (requires Surf)";"FR|LG";"Four Island (town)"
"Good Rod";"From the Fishing Guru's brother";"R|B|Y|FR|LG";"Fuchsia City"
"HM04 (Strength)";"From the Safari Zone Warden after returning him his Gold Teeth";"R|B|Y|FR|LG";"Fuchsia City"
"Rare Candy";"Inside the Safari Zone Warden's house (requires Strength)";"R|B|Y|FR|LG";"Fuchsia City"
"Max Revive";"In the Fishing Guru's brother's backyard, one square east of the southernmost flower (hidden)";"FR|LG";"Fuchsia City"
